x,y
0.0000000000,0.0000000000
0.0523359562,0.0697564737
0.1045284633,0.1391731010
0.1564344650,0.2079116908
0.2079116908,0.2756373558
0.2588190451,0.3420201433
0.3090169944,0.4067366431
0.3583679495,0.4694715628
0.4067366431,0.5299192642
0.4539904997,0.5877852523
0.5000000000,0.6427876097
0.5446390350,0.6946583705
0.5877852523,0.7431448255
0.6293203910,0.7880107536
0.6691306064,0.8290375726
0.7071067812,0.8660254038
0.7431448255,0.8987940463
0.7771459615,0.9271838546
0.8090169944,0.9510565163
0.8386705679,0.9702957263
0.8660254038,0.9848077530
0.8910065242,0.9945218954
0.9135454576,0.9993908270
0.9335804265,0.9993908270
0.9510565163,0.9945218954
0.9659258263,0.9848077530
0.9781476007,0.9702957263
0.9876883406,0.9510565163
0.9945218954,0.9271838546
0.9986295348,0.8987940463
1.0000000000,0.8660254038
0.9986295348,0.8290375726
0.9945218954,0.7880107536
0.9876883406,0.7431448255
0.9781476007,0.6946583705
0.9659258263,0.6427876097
0.9510565163,0.5877852523
0.9335804265,0.5299192642
0.9135454576,0.4694715628
0.8910065242,0.4067366431
0.8660254038,0.3420201433
0.8386705679,0.2756373558
0.8090169944,0.2079116908
0.7771459615,0.1391731010
0.7431448255,0.0697564737
0.7071067812,0.0000000000
0.6691306064,-0.0697564737
0.6293203910,-0.1391731010
0.5877852523,-0.2079116908
0.5446390350,-0.2756373558
0.5000000000,-0.3420201433
0.4539904997,-0.4067366431
0.4067366431,-0.4694715628
0.3583679495,-0.5299192642
0.3090169944,-0.5877852523
0.2588190451,-0.6427876097
0.2079116908,-0.6946583705
0.1564344650,-0.7431448255
0.1045284633,-0.7880107536
0.0523359562,-0.8290375726
0.0000000000,-0.8660254038
-0.0523359562,-0.8987940463
-0.1045284633,-0.9271838546
-0.1564344650,-0.9510565163
-0.2079116908,-0.9702957263
-0.2588190451,-0.9848077530
-0.3090169944,-0.9945218954
-0.3583679495,-0.9993908270
-0.4067366431,-0.9993908270
-0.4539904997,-0.9945218954
-0.5000000000,-0.9848077530
-0.5446390350,-0.9702957263
-0.5877852523,-0.9510565163
-0.6293203910,-0.9271838546
-0.6691306064,-0.8987940463
-0.7071067812,-0.8660254038
-0.7431448255,-0.8290375726
-0.7771459615,-0.7880107536
-0.8090169944,-0.7431448255
-0.8386705679,-0.6946583705
-0.8660254038,-0.6427876097
-0.8910065242,-0.5877852523
-0.9135454576,-0.5299192642
-0.9335804265,-0.4694715628
-0.9510565163,-0.4067366431
-0.9659258263,-0.3420201433
-0.9781476007,-0.2756373558
-0.9876883406,-0.2079116908
-0.9945218954,-0.1391731010
-0.9986295348,-0.0697564737
-1.0000000000,-0.0000000000
-0.9986295348,0.0697564737
-0.9945218954,0.1391731010
-0.9876883406,0.2079116908
-0.9781476007,0.2756373558
-0.9659258263,0.3420201433
-0.9510565163,0.4067366431
-0.9335804265,0.4694715628
-0.9135454576,0.5299192642
-0.8910065242,0.5877852523
-0.8660254038,0.6427876097
-0.8386705679,0.6946583705
-0.8090169944,0.7431448255
-0.7771459615,0.7880107536
-0.7431448255,0.8290375726
-0.7071067812,0.8660254038
-0.6691306064,0.8987940463
-0.6293203910,0.9271838546
-0.5877852523,0.9510565163
-0.5446390350,0.9702957263
-0.5000000000,0.9848077530
-0.4539904997,0.9945218954
-0.4067366431,0.9993908270
-0.3583679495,0.9993908270
-0.3090169944,0.9945218954
-0.2588190451,0.9848077530
-0.2079116908,0.9702957263
-0.1564344650,0.9510565163
-0.1045284633,0.9271838546
-0.0523359562,0.8987940463
-0.0000000000,0.8660254038
0.0523359562,0.8290375726
0.1045284633,0.7880107536
0.1564344650,0.7431448255
0.2079116908,0.6946583705
0.2588190451,0.6427876097
0.3090169944,0.5877852523
0.3583679495,0.5299192642
0.4067366431,0.4694715628
0.4539904997,0.4067366431
0.5000000000,0.3420201433
0.5446390350,0.2756373558
0.5877852523,0.2079116908
0.6293203910,0.1391731010
0.6691306064,0.0697564737
0.7071067812,0.0000000000
0.7431448255,-0.0697564737
0.7771459615,-0.1391731010
0.8090169944,-0.2079116908
0.8386705679,-0.2756373558
0.8660254038,-0.3420201433
0.8910065242,-0.4067366431
0.9135454576,-0.4694715628
0.9335804265,-0.5299192642
0.9510565163,-0.5877852523
0.9659258263,-0.6427876097
0.9781476007,-0.6946583705
0.9876883406,-0.7431448255
0.9945218954,-0.7880107536
0.9986295348,-0.8290375726
1.0000000000,-0.8660254038
0.9986295348,-0.8987940463
0.9945218954,-0.9271838546
0.9876883406,-0.9510565163
0.9781476007,-0.9702957263
0.9659258263,-0.9848077530
0.9510565163,-0.9945218954
0.9335804265,-0.9993908270
0.9135454576,-0.9993908270
0.8910065242,-0.9945218954
0.8660254038,-0.9848077530
0.8386705679,-0.9702957263
0.8090169944,-0.9510565163
0.7771459615,-0.9271838546
0.7431448255,-0.8987940463
0.7071067812,-0.8660254038
0.6691306064,-0.8290375726
0.6293203910,-0.7880107536
0.5877852523,-0.7431448255
0.5446390350,-0.6946583705
0.5000000000,-0.6427876097
0.4539904997,-0.5877852523
0.4067366431,-0.5299192642
0.3583679495,-0.4694715628
0.3090169944,-0.4067366431
0.2588190451,-0.3420201433
0.2079116908,-0.2756373558
0.1564344650,-0.2079116908
0.1045284633,-0.1391731010
0.0523359562,-0.0697564737
0.0000000000,-0.0000000000
-0.0523359562,0.0697564737
-0.1045284633,0.1391731010
-0.1564344650,0.2079116908
-0.2079116908,0.2756373558
-0.2588190451,0.3420201433
-0.3090169944,0.4067366431
-0.3583679495,0.4694715628
-0.4067366431,0.5299192642
-0.4539904997,0.5877852523
-0.5000000000,0.6427876097
-0.5446390350,0.6946583705
-0.5877852523,0.7431448255
-0.6293203910,0.7880107536
-0.6691306064,0.8290375726
-0.7071067812,0.8660254038
-0.7431448255,0.8987940463
-0.7771459615,0.9271838546
-0.8090169944,0.9510565163
-0.8386705679,0.9702957263
-0.8660254038,0.9848077530
-0.8910065242,0.9945218954
-0.9135454576,0.9993908270
-0.9335804265,0.9993908270
-0.9510565163,0.9945218954
-0.9659258263,0.9848077530
-0.9781476007,0.9702957263
-0.9876883406,0.9510565163
-0.9945218954,0.9271838546
-0.9986295348,0.8987940463
-1.0000000000,0.8660254038
-0.9986295348,0.8290375726
-0.9945218954,0.7880107536
-0.9876883406,0.7431448255
-0.9781476007,0.6946583705
-0.9659258263,0.6427876097
-0.9510565163,0.5877852523
-0.9335804265,0.5299192642
-0.9135454576,0.4694715628
-0.8910065242,0.4067366431
-0.8660254038,0.3420201433
-0.8386705679,0.2756373558
-0.8090169944,0.2079116908
-0.7771459615,0.1391731010
-0.7431448255,0.0697564737
-0.7071067812,0.0000000000
-0.6691306064,-0.0697564737
-0.6293203910,-0.1391731010
-0.5877852523,-0.2079116908
-0.5446390350,-0.2756373558
-0.5000000000,-0.3420201433
-0.4539904997,-0.4067366431
-0.4067366431,-0.4694715628
-0.3583679495,-0.5299192642
-0.3090169944,-0.5877852523
-0.2588190451,-0.6427876097
-0.2079116908,-0.6946583705
-0.1564344650,-0.7431448255
-0.1045284633,-0.7880107536
-0.0523359562,-0.8290375726
-0.0000000000,-0.8660254038
0.0523359562,-0.8987940463
0.1045284633,-0.9271838546
0.1564344650,-0.9510565163
0.2079116908,-0.9702957263
0.2588190451,-0.9848077530
0.3090169944,-0.9945218954
0.3583679495,-0.9993908270
0.4067366431,-0.9993908270
0.4539904997,-0.9945218954
0.5000000000,-0.9848077530
0.5446390350,-0.9702957263
0.5877852523,-0.9510565163
0.6293203910,-0.9271838546
0.6691306064,-0.8987940463
0.7071067812,-0.8660254038
0.7431448255,-0.8290375726
0.7771459615,-0.7880107536
0.8090169944,-0.7431448255
0.8386705679,-0.6946583705
0.8660254038,-0.6427876097
0.8910065242,-0.5877852523
0.9135454576,-0.5299192642
0.9335804265,-0.4694715628
0.9510565163,-0.4067366431
0.9659258263,-0.3420201433
0.9781476007,-0.2756373558
0.9876883406,-0.2079116908
0.9945218954,-0.1391731010
0.9986295348,-0.0697564737
1.0000000000,-0.0000000000
0.9986295348,0.0697564737
0.9945218954,0.1391731010
0.9876883406,0.2079116908
0.9781476007,0.2756373558
0.9659258263,0.3420201433
0.9510565163,0.4067366431
0.9335804265,0.4694715628
0.9135454576,0.5299192642
0.8910065242,0.5877852523
0.8660254038,0.6427876097
0.8386705679,0.6946583705
0.8090169944,0.7431448255
0.7771459615,0.7880107536
0.7431448255,0.8290375726
0.7071067812,0.8660254038
0.6691306064,0.8987940463
0.6293203910,0.9271838546
0.5877852523,0.9510565163
0.5446390350,0.9702957263
0.5000000000,0.9848077530
0.4539904997,0.9945218954
0.4067366431,0.9993908270
0.3583679495,0.9993908270
0.3090169944,0.9945218954
0.2588190451,0.9848077530
0.2079116908,0.9702957263
0.1564344650,0.9510565163
0.1045284633,0.9271838546
0.0523359562,0.8987940463
0.0000000000,0.8660254038
-0.0523359562,0.8290375726
-0.1045284633,0.7880107536
-0.1564344650,0.7431448255
-0.2079116908,0.6946583705
-0.2588190451,0.6427876097
-0.3090169944,0.5877852523
-0.3583679495,0.5299192642
-0.4067366431,0.4694715628
-0.4539904997,0.4067366431
-0.5000000000,0.3420201433
-0.5446390350,0.2756373558
-0.5877852523,0.2079116908
-0.6293203910,0.1391731010
-0.6691306064,0.0697564737
-0.7071067812,0.0000000000
-0.7431448255,-0.0697564737
-0.7771459615,-0.1391731010
-0.8090169944,-0.2079116908
-0.8386705679,-0.2756373558
-0.8660254038,-0.3420201433
-0.8910065242,-0.4067366431
-0.9135454576,-0.4694715628
-0.9335804265,-0.5299192642
-0.9510565163,-0.5877852523
-0.9659258263,-0.6427876097
-0.9781476007,-0.6946583705
-0.9876883406,-0.7431448255
-0.9945218954,-0.7880107536
-0.9986295348,-0.8290375726
-1.0000000000,-0.8660254038
-0.9986295348,-0.8987940463
-0.9945218954,-0.9271838546
-0.9876883406,-0.9510565163
-0.9781476007,-0.9702957263
-0.9659258263,-0.9848077530
-0.9510565163,-0.9945218954
-0.9335804265,-0.9993908270
-0.9135454576,-0.9993908270
-0.8910065242,-0.9945218954
-0.8660254038,-0.9848077530
-0.8386705679,-0.9702957263
-0.8090169944,-0.9510565163
-0.7771459615,-0.9271838546
-0.7431448255,-0.8987940463
-0.7071067812,-0.8660254038
-0.6691306064,-0.8290375726
-0.6293203910,-0.7880107536
-0.5877852523,-0.7431448255
-0.5446390350,-0.6946583705
-0.5000000000,-0.6427876097
-0.4539904997,-0.5877852523
-0.4067366431,-0.5299192642
-0.3583679495,-0.4694715628
-0.3090169944,-0.4067366431
-0.2588190451,-0.3420201433
-0.2079116908,-0.2756373558
-0.1564344650,-0.2079116908
-0.1045284633,-0.1391731010
-0.0523359562,-0.0697564737
-0.0000000000,-0.0000000000
0.0523359562,0.0697564737
0.1045284633,0.1391731010
0.1564344650,0.2079116908
0.2079116908,0.2756373558
0.2588190451,0.3420201433
0.3090169944,0.4067366431
0.3583679495,0.4694715628
0.4067366431,0.5299192642
0.4539904997,0.5877852523
0.5000000000,0.6427876097
0.5446390350,0.6946583705
0.5877852523,0.7431448255
0.6293203910,0.7880107536
0.6691306064,0.8290375726
0.7071067812,0.8660254038
0.7431448255,0.8987940463
0.7771459615,0.9271838546
0.8090169944,0.9510565163
0.8386705679,0.9702957263
0.8660254038,0.9848077530
0.8910065242,0.9945218954
0.9135454576,0.9993908270
0.9335804265,0.9993908270
0.9510565163,0.9945218954
0.9659258263,0.9848077530
0.9781476007,0.9702957263
0.9876883406,0.9510565163
0.9945218954,0.9271838546
0.9986295348,0.8987940463
1.0000000000,0.8660254038
0.9986295348,0.8290375726
0.9945218954,0.7880107536
0.9876883406,0.7431448255
0.9781476007,0.6946583705
0.9659258263,0.6427876097
0.9510565163,0.5877852523
0.9335804265,0.5299192642
0.9135454576,0.4694715628
0.8910065242,0.4067366431
0.8660254038,0.3420201433
0.8386705679,0.2756373558
0.8090169944,0.2079116908
0.7771459615,0.1391731010
0.7431448255,0.0697564737
0.7071067812,0.0000000000
0.6691306064,-0.0697564737
0.6293203910,-0.1391731010
0.5877852523,-0.2079116908
0.5446390350,-0.2756373558
0.5000000000,-0.3420201433
0.4539904997,-0.4067366431
0.4067366431,-0.4694715628
0.3583679495,-0.5299192642
0.3090169944,-0.5877852523
0.2588190451,-0.6427876097
0.2079116908,-0.6946583705
0.1564344650,-0.7431448255
0.1045284633,-0.7880107536
0.0523359562,-0.8290375726
-0.0000000000,-0.8660254038
-0.0523359562,-0.8987940463
-0.1045284633,-0.9271838546
-0.1564344650,-0.9510565163
-0.2079116908,-0.9702957263
-0.2588190451,-0.9848077530
-0.3090169944,-0.9945218954
-0.3583679495,-0.9993908270
-0.4067366431,-0.9993908270
-0.4539904997,-0.9945218954
-0.5000000000,-0.9848077530
-0.5446390350,-0.9702957263
-0.5877852523,-0.9510565163
-0.6293203910,-0.9271838546
-0.6691306064,-0.8987940463
-0.7071067812,-0.8660254038
-0.7431448255,-0.8290375726
-0.7771459615,-0.7880107536
-0.8090169944,-0.7431448255
-0.8386705679,-0.6946583705
-0.8660254038,-0.6427876097
-0.8910065242,-0.5877852523
-0.9135454576,-0.5299192642
-0.9335804265,-0.4694715628
-0.9510565163,-0.4067366431
-0.9659258263,-0.3420201433
-0.9781476007,-0.2756373558
-0.9876883406,-0.2079116908
-0.9945218954,-0.1391731010
-0.9986295348,-0.0697564737
-1.0000000000,-0.0000000000
-0.9986295348,0.0697564737
-0.9945218954,0.1391731010
-0.9876883406,0.2079116908
-0.9781476007,0.2756373558
-0.9659258263,0.3420201433
-0.9510565163,0.4067366431
-0.9335804265,0.4694715628
-0.9135454576,0.5299192642
-0.8910065242,0.5877852523
-0.8660254038,0.6427876097
-0.8386705679,0.6946583705
-0.8090169944,0.7431448255
-0.7771459615,0.7880107536
-0.7431448255,0.8290375726
