"date","tests","positives"
"2020/5/13","10074","55"
"2020/5/14","5866","100"
"2020/5/15","3092","50"
"2020/5/16","4337","55"
"2020/5/17","4987","26"
"2020/5/18","5980","31"
"2020/5/19","3221","26"
"2020/5/20","3669","37"
"2020/5/21","4580","40"
"2020/5/22","3495","24"
"2020/5/23","2769","26"
"2020/5/24","1252","40"
"2020/5/25","3620","20"
"2020/5/26","2994","24"
"2020/5/27","3004","33"
"2020/5/28","3981","61"
"2020/5/29","3501","63"
"2020/5/30","2652","41"
"2020/5/31","1657","32"
"2020/6/1","3789","36"
"2020/6/2","4526","50"
"2020/6/3","3979","26"
"2020/6/4","4600","44"
"2020/6/5","4939","39"
"2020/6/6","3220","47"
"2020/6/7","1725","32"
"2020/6/8","4516","21"
"2020/6/9","4600","30"
"2020/6/10","5092","36"
"2020/6/11","4573","41"
"2020/6/12","5145","56"
"2020/6/13","2633","42"
"2020/6/14","1451","61"
"2020/6/15","4300","60"
"2020/6/16","4462","42"
"2020/6/17","1348","43"
"2020/6/18","6176","67"
"2020/6/19","4823","55"
"2020/6/20","2474","64"
"2020/6/21","4127","48"
"2020/6/22","5376","40"
"2020/6/23","3722","53"
"2020/6/24","4979","88"
"2020/6/25","4455","80"
"2020/6/26","4758","98"
"2020/6/27","3533","89"
"2020/6/28","1513","111"
"2020/6/29","5510","110"
"2020/6/30","4651","132"
"2020/7/1","6564","126"
"2020/7/2","5460","193"
"2020/7/3","6597","249"
"2020/7/4","3134","269"
"2020/7/5","2618","195"
"2020/7/6","8228","174"
"2020/7/7","7099","202"
"2020/7/8","7725","206"
"2020/7/9","7700","350"
"2020/7/10","8955","418"
"2020/7/11","5362","375"
"2020/7/12","1838","388"
"2020/7/13","10552","246"
"2020/7/14","11154","328"
"2020/7/15","11343","436"
"2020/7/16","16683","621"
"2020/7/17","12994","589"
"2020/7/18","7166","648"
"2020/7/19","3262","503"
"2020/7/20","15959","409"
"2020/7/21","12114","616"
"2020/7/22","16357","786"
"2020/7/23","8310","966"
"2020/7/24","5695","769"
"2020/7/25","9530","779"
"2020/7/26","3785","855"
"2020/7/27","24182","573"
"2020/7/28","18086","961"
"2020/7/29","18669","1254"
"2020/7/30","19687","1307"
"2020/7/31","17354","1588"
"2020/8/1","9606","1539"
"2020/8/2","10599","1311"
"2020/8/3","25794","953"
"2020/8/4","18740","1244"
"2020/8/5","39723","1344"
"2020/8/6","22015","1470"
"2020/8/7","22698","1606"
"2020/8/8","13676","1532"
"2020/8/9","13336","1468"
"2020/8/10","6440","822"
"2020/8/11","32939","691"
"2020/8/12","25782","971"
"2020/8/13","21062","1172"
"2020/8/14","55240","1350"
"2020/8/15","11750","1238"
"2020/8/16","7438","1000"
"2020/8/17","25835","641"
"2020/8/18","21130","896"
"2020/8/19","21937","1079"
"2020/8/20","21889","1177"
"2020/8/21","21866","1040"
"2020/8/22","13348","980"
"2020/8/23","10953","742"
"2020/8/24","22051","492"
"2020/8/25","18238","703"
"2020/8/26","19353","891"
"2020/8/27","21546","859"
"2020/8/28","18597","871"
"2020/8/29","12915","844"
"2020/8/30","9577","597"
"2020/8/31","21529","427"
"2020/9/1","18131","635"
"2020/9/2","24123","571"
"2020/9/3","22991","647"
"2020/9/4","15457","586"
"2020/9/5","11930","600"
"2020/9/6","4175","446"
"2020/9/7","24012","280"
"2020/9/8","14637","511"
"2020/9/9","23072","509"
"2020/9/10","22306","706"
"2020/9/11","16479","633"
"2020/9/12","10545","634"
"2020/9/13","472","444"
"2020/9/14","25446","262"
"2020/9/15","20163","520"
"2020/9/16","18314","542"
"2020/9/17","23313","485"
"2020/9/18","17605","561"
"2020/9/19","9530","597"
"2020/9/20","6153","471"
"2020/9/21","2778","307"
"2020/9/22","3386","315"
"2020/9/23","26925","227"
"2020/9/24","19021","473"
"2020/9/25","28526","568"
"2020/9/26","10522","635"
"2020/9/27","4550","477"
"2020/9/28","19750","296"
"2020/9/29","103676","524"
"2020/9/30","19462","569"
"2020/10/1","17671","618"
"2020/10/2","21860","538"
"2020/10/3","13684","557"
"2020/10/4","4928","398"
"2020/10/5","21865","268"
"2020/10/6","20435","490"
"2020/10/7","21401","505"
"2020/10/8","21397","618"
"2020/10/9","19697","594"
"2020/10/10","10803","663"
"2020/10/11","5077","436"
"2020/10/12","23235","275"
"2020/10/13","19828","491"
"2020/10/14","21837","551"
"2020/10/15","20737","704"
"2020/10/16","20701","631"
"2020/10/17","9896","609"
"2020/10/18","5123","422"
"2020/10/19","21920","305"
"2020/10/20","15486","474"
"2020/10/21","22144","620"
"2020/10/22","23418","602"
"2020/10/23","22880","750"
"2020/10/24","13211","708"
"2020/10/25","5427","488"
"2020/10/26","22602","405"
"2020/10/27","25714","643"
"2020/10/28","23064","725"
"2020/10/29","20504","802"
"2020/10/30","21782","772"
"2020/10/31","11398","866"
"2020/11/1","6214","604"
"2020/11/2","21535","480"
"2020/11/3","7477","861"
"2020/11/4","21840","607"
"2020/11/5","29533","1045"
"2020/11/6","28237","1137"
"2020/11/7","13460","1292"
"2020/11/8","8004","945"
"2020/11/9","25476","770"
"2020/11/10","25179","1279"
"2020/11/11","33681","1535"
"2020/11/12","29912","1633"
"2020/11/13","24038","1693"
"2020/11/14","16651","1725"
"2020/11/15","9127","1426"
"2020/11/16","30109","947"
"2020/11/17","27634","1694"
"2020/11/18","34630","2160"
"2020/11/19","37810","2371"
"2020/11/20","41770","2418"
"2020/11/21","24924","2586"
"2020/11/22","20389","2143"
"2020/11/23","9560","1512"
"2020/11/24","43773","1212"
"2020/11/25","41052","1922"
"2020/11/26","42634","2499"
"2020/11/27","43351","2507"
"2020/11/28","22307","2674"
"2020/11/29","11975","2051"
"2020/11/30","41335","1425"
"2020/12/1","44289","2011"
"2020/12/2","43236","2417"
"2020/12/3","36823","2512"
"2020/12/4","38145","2434"
"2020/12/5","22313","2513"
"2020/12/6","17612","2022"
"2020/12/7","37737","1512"
"2020/12/8","40060","2158"
"2020/12/9","54557","2802"
"2020/12/10","44612","2961"
"2020/12/11","53834","2801"
"2020/12/12","28203","3023"
"2020/12/13","13144","2379"
"2020/12/14","53758","1650"
"2020/12/15","45817","2424"
"2020/12/16","54303","2977"
"2020/12/17","62439","3212"
"2020/12/18","56421","2835"
"2020/12/19","27049","3050"
"2020/12/20","12282","2392"
"2020/12/21","55650","1808"
"2020/12/22","31110","2672"
"2020/12/23","72258","3262"
"2020/12/24","63512","3730"
"2020/12/25","60261","3841"
"2020/12/26","32677","3879"
"2020/12/27","11963","2928"
"2020/12/28","74383","2387"
"2020/12/29","24850","3617"
"2020/12/30","21069","3863"
"2020/12/31","39575","4524"
"2021/1/1","25072","3249"
"2021/1/2","8746","3055"
"2021/1/3","20291","3136"
"2021/1/4","84338","3333"
"2021/1/5","88446","4936"
"2021/1/6","73967","6044"
"2021/1/7","81440","7641"
"2021/1/8","63373","7945"
"2021/1/9","35730","7823"
"2021/1/10","24008","6112"
"2021/1/11","19942","4895"
"2021/1/12","86551","4594"
"2021/1/13","81255","5904"
"2021/1/14","101255","6660"
"2021/1/15","70610","7161"
"2021/1/16","44662","7028"
"2021/1/17","16038","5766"
"2021/1/18","80773","4937"
"2021/1/19","103313","5325"
"2021/1/20","86804","5544"
"2021/1/21","85769","5663"
"2021/1/22","101273","5068"
"2021/1/23","37116","4713"
"2021/1/24","18784","3996"
"2021/1/25","81941","2752"
"2021/1/26","66335","3861"
